id,speaker,speech,context,raw-dialouge,season,episode,title,airdate,runtime
2390,Patrick," No, no!  Yay! ",reading a comic book. Screams starts crying then stops laughs,"[reading a comic book. Screams] No, no! [starts crying then stops] Yay! [laughs]",05,03,Sing a Song of Patrick,19-Feb-07,10
2391,Nerd,"Well, if only Inaudible Lad were here right now.",,"Well, if only Inaudible Lad were here right now.",05,03,Sing a Song of Patrick,19-Feb-07,10
2392,Patrick,Oh.  Nothing satisfies like a good story.,eats comic book,Oh. [eats comic book] Nothing satisfies like a good story.,05,03,Sing a Song of Patrick,19-Feb-07,10
2393,SpongeBob," Are ya ready to go, Patrick?",walks up to Patrick with a stack of comic books,"[walks up to Patrick with a stack of comic books] Are ya ready to go, Patrick?",05,03,Sing a Song of Patrick,19-Feb-07,10
2394,Patrick," Get back, I wasn't going to eat all of you!",screams,"[screams] Get back, I wasn't going to eat all of you!",05,03,Sing a Song of Patrick,19-Feb-07,10
2395,SpongeBob,"Patrick, it's me!",,"Patrick, it's me!",05,03,Sing a Song of Patrick,19-Feb-07,10
2396,Patrick,Sponge-- ,burps and a piece of paper lands into SpongeBob's face,Sponge-- [burps and a piece of paper lands into SpongeBob's face],05,03,Sing a Song of Patrick,19-Feb-07,10
2397,SpongeBob,"Ew, what's this?",,"Ew, what's this?",05,03,Sing a Song of Patrick,19-Feb-07,10
2398,Patrick," Well, whatever it is, it's mine! Unless I don't want it!  SpongeBob, what do all these words say?",takes the piece of paper inspects the piece of paper and gasps,"[takes the piece of paper] Well, whatever it is, it's mine! Unless I don't want it! [inspects the piece of paper and gasps] SpongeBob, what do all these words say?",05,03,Sing a Song of Patrick,19-Feb-07,10
2399,SpongeBob,It's an ad.  Dear Comic Book Reader.,talks in an announcer tone,It's an ad. [talks in an announcer tone] Dear Comic Book Reader.,05,03,Sing a Song of Patrick,19-Feb-07,10
2400,Patrick,That's me!,,That's me!,05,03,Sing a Song of Patrick,19-Feb-07,10
2401,SpongeBob, Have you ever thought about turning one of your poems into a hit song on the radio?,continues as announcer,[continues as announcer] Have you ever thought about turning one of your poems into a hit song on the radio?,05,03,Sing a Song of Patrick,19-Feb-07,10
2402,Patrick,I never thought about anything!,,I never thought about anything!,05,03,Sing a Song of Patrick,19-Feb-07,10
2403,SpongeBob, Send in your poem and $100 and we'll make it a hit!  Can we go now? My arms are getting tired.,continues uses regular tone of voice again,[continues] Send in your poem and $100 and we'll make it a hit! [uses regular tone of voice again] Can we go now? My arms are getting tired.,05,03,Sing a Song of Patrick,19-Feb-07,10
2404,Patrick,"I want to send in a poem, and everyone would love it, and I would be a star!",,"I want to send in a poem, and everyone would love it, and I would be a star!",05,03,Sing a Song of Patrick,19-Feb-07,10
2405,SpongeBob,"You can't always trust ads in comic books. Those X-Ray specs I ordered couldn't see through people's skin at all!  Only their clothes! Plus, you don't have $100.  Patrick, could you get my wallet? ",makes a disgusted face SpongeBob's wallet falls out of his and struggles to pick it up Patrick picks up SpongeBob's wallet,"You can't always trust ads in comic books. Those X-Ray specs I ordered couldn't see through people's skin at all! [makes a disgusted face] Only their clothes! Plus, you don't have $100. [SpongeBob's wallet falls out of his and struggles to pick it up] Patrick, could you get my wallet? [Patrick picks up SpongeBob's wallet]",05,03,Sing a Song of Patrick,19-Feb-07,10
2406,Patrick,"Hey, look.  I just found $100! It's a sign that I should make my hit record.",pulls out $100 bill from wallet,"Hey, look. [pulls out $100 bill from wallet] I just found $100! It's a sign that I should make my hit record.",05,03,Sing a Song of Patrick,19-Feb-07,10
2407,SpongeBob,"Hey, that's my comic book money!",,"Hey, that's my comic book money!",05,03,Sing a Song of Patrick,19-Feb-07,10
2408,Patrick, It's a sign! A sign that fell from the back of your pants. I've learned to trust signs like that. ,indignant walks away,[indignant] It's a sign! A sign that fell from the back of your pants. I've learned to trust signs like that. [walks away],05,03,Sing a Song of Patrick,19-Feb-07,10
2409,SpongeBob,Patrick. ,the comic book store clerk shows up,Patrick. [the comic book store clerk shows up],05,03,Sing a Song of Patrick,19-Feb-07,10
2410,Comic Book Store Clerk,"Hey, you going to pay for those comics? ",SpongeBob's arms fall off with the comics,"Hey, you going to pay for those comics? [SpongeBob's arms fall off with the comics]",05,03,Sing a Song of Patrick,19-Feb-07,10
2411,SpongeBob,No.  Ow! Can I have my arms back? ,gets kicked out cut to SpongeBob's house,No. [gets kicked out] Ow! Can I have my arms back? [cut to SpongeBob's house],05,03,Sing a Song of Patrick,19-Feb-07,10
2412,Patrick,"I wish not to be disturbed, SpongeBob, for I am about to erupt with a masterpiece. ",walks away,"I wish not to be disturbed, SpongeBob, for I am about to erupt with a masterpiece. [walks away]",05,03,Sing a Song of Patrick,19-Feb-07,10
2413,SpongeBob,Good luck.  Coming-- ,doorbell rings Patrick slams door against SpongeBob,Good luck. [doorbell rings] Coming-- [Patrick slams door against SpongeBob],05,03,Sing a Song of Patrick,19-Feb-07,10
2414,Patrick,"SpongeBob, could I borrow a pencil and some paper and a place to work? ",cut to Patrick at the desk,"SpongeBob, could I borrow a pencil and some paper and a place to work? [cut to Patrick at the desk]",05,03,Sing a Song of Patrick,19-Feb-07,10
2415,Patrick, SpongeBob! This pencil is broken! Why won't it make words?,hovering the pencil over the paper,[hovering the pencil over the paper] SpongeBob! This pencil is broken! Why won't it make words?,05,03,Sing a Song of Patrick,19-Feb-07,10
2416,SpongeBob,You have to think of the words yourself. ,walks away with the laundry,You have to think of the words yourself. [walks away with the laundry],05,03,Sing a Song of Patrick,19-Feb-07,10
2417,Patrick,I think I wrote a poem once. ,flashback to Patrick's childhood,I think I wrote a poem once. [flashback to Patrick's childhood],05,03,Sing a Song of Patrick,19-Feb-07,10
2418,Young Patrick,"A Poem, by Patrick Star. Roses are blue, violets are red, I have to go to the bathroom. ",eats his poem and then burps and takes a bow,"A Poem, by Patrick Star. Roses are blue, violets are red, I have to go to the bathroom. [eats his poem and then burps and takes a bow]",05,03,Sing a Song of Patrick,19-Feb-07,10
2419,Gym Teacher,"How many times do I gotta tell ya, this is gym class! ","blows whistle and everyone starts throwing dodgeballs at Patrick, who takes cover","How many times do I gotta tell ya, this is gym class! [blows whistle and everyone starts throwing dodgeballs at Patrick, who takes cover]",05,03,Sing a Song of Patrick,19-Feb-07,10
2420,Patrick," Ohh, dodgeballs.",present time,"[present time] Ohh, dodgeballs.",05,03,Sing a Song of Patrick,19-Feb-07,10
2421,SpongeBob," Oh, Patrick!",shadow figure of himself holding a dodgeball and wearing an evil grin,"[shadow figure of himself holding a dodgeball and wearing an evil grin] Oh, Patrick!",05,03,Sing a Song of Patrick,19-Feb-07,10
2422,Patrick, Don't hit me with a dodgeball! ,screams hides under the desk and SpongeBob turns on the lights and Gary pops out of his shell,[screams] Don't hit me with a dodgeball! [hides under the desk and SpongeBob turns on the lights and Gary pops out of his shell],05,03,Sing a Song of Patrick,19-Feb-07,10
2423,Gary,Meow.,,Meow.,05,03,Sing a Song of Patrick,19-Feb-07,10
2424,SpongeBob,Why would I hit you with a dodgeball?,,Why would I hit you with a dodgeball?,05,03,Sing a Song of Patrick,19-Feb-07,10
2425,Patrick,"I've never told anyone this, I wrote a poem once.",,"I've never told anyone this, I wrote a poem once.",05,03,Sing a Song of Patrick,19-Feb-07,10
2426,SpongeBob, No!,gets shocked,[gets shocked] No!,05,03,Sing a Song of Patrick,19-Feb-07,10
