episode,Name,First Aired,Runtime,
S01E01,Help Wanted,1-May-99,10,
S01E02,Reef Blower,1-May-99,3,
S01E03,Tea at the Treedome,1-May-99,10,
S01E04,Bubblestand,17-Jul-99,10,
S01E05,Ripped Pants,17-Jul-99,10,
S01E06,Jellyfishing,31-Jul-99,10,
S01E07,Plankton!,31-Jul-99,10,
S01E08,Naughty Nautical Neighbors,7-Aug-99,10,
S01E09,Boating School,7-Aug-99,10,
S01E10,Pizza Delivery,14-Aug-99,10,
S01E11,Home Sweet Pineapple,14-Aug-99,10,
S01E12,Mermaid Man and Barnacle Boy,21-Aug-99,10,
S01E13,Pickles,21-Aug-99,10,
S01E14,Hall Monitor,28-Aug-99,10,
S01E15,Jellyfish Jam,28-Aug-99,10,
S01E16,Sandy's Rocket,4-Sep-99,10,
S01E17,Squeaky Boots,4-Sep-99,10,
S01E18,Nature Pants,11-Sep-99,10,
S01E19,Opposite Day,11-Sep-99,10,
S01E20,Culture Shock,18-Sep-99,10,
S01E21,F.U.N.,18-Sep-99,10,
S01E22,MuscleBob BuffPants,25-Sep-99,10,
S01E23,Squidward the Unfriendly Ghost,25-Sep-99,10,
S01E24,The Chaperone,2-Oct-99,10,
S01E25,Employee of the Month,2-Oct-99,10,
S01E26,Scaredy Pants,28-Oct-99,10,
S01E27,I Was a Teenage Gary,28-Oct-99,10,
S01E28,SB-129,31-Dec-99,10,
S01E29,Karate Choppers,31-Dec-99,10,
S01E30,Sleepy Time,17-Jan-00,10,
S01E31,Suds,17-Jan-00,10,
S01E32,Valentine's Day,14-Feb-00,10,
S01E33,The Paper,14-Feb-00,10,
S01E34,Arrgh!,15-Mar-00,10,
S01E35,Rock Bottom,15-Mar-00,10,
S01E36,Texas,22-Mar-00,10,
S01E37,Walking Small,22-Mar-00,10,
S01E38,Fools in April,1-Apr-00,10,
S01E39,Neptune's Spatula,1-Apr-00,10,
S01E40,Hooky,8-Apr-00,10,
S01E41,Mermaid Man and Barnacle Boy II ,8-Apr-00,10,
S02E01,Something Smells,20-Oct-00,11,
S02E02,Bossy Boots,20-Oct-00,11,
S02E03,Your Shoe's Untied,2-Nov-00,12,
S02E04,Squid's Day Off,2-Nov-00,11,
S02E05,Big Pink Loser,16-Nov-00,11,
S02E06,Bubble Buddy,16-Nov-00,11,
S02E07,Mermaid Man and Barnacle Boy III,27-Nov-00,11,
S02E08,Squirrel Jokes,27-Nov-00,10,
S02E09,Dying for Pie,28-Dec-00,11,
S02E10,Imitation Krabs,28-Dec-00,11,
S02E11,Wormy,17-Feb-01,10,
S02E12,Patty Hype,17-Feb-01,11,
S02E13,Survival of the Idiots,5-Mar-01,12,
S02E14,Dumped,5-Mar-01,11,
S02E15,Grandma's Kisses,27-Nov-00,10,
S02E16,Squidville,27-Nov-00,11,
S02E17,No Free Rides,6-Mar-01,10,
S02E18,I'm Your Biggest Fanatic,6-Mar-01,10,
S02E19,Shanghaied,7-Mar-01,10,
S02E20,Gary Takes a Bath,7-Mar-01,6,
S02E21,Pressure,8-Mar-01,10,
S02E22,The Smoking Peanut,8-Mar-01,10,
S02E23,Prehibernation Week,5-May-01,11,
S02E24,Life of Crime,5-May-01,11,
S02E25,The Secret Box,7-Sep-01,10,
S02E26,Band Geeks,7-Sep-01,10,
S02E27,Sailor Mouth,21-Sep-01,10,
S02E28,Artist Unknown,21-Sep-01,10,
S02E29,Jellyfish Hunter,28-Sep-01,10,
S02E30,The Fry Cook Games,28-Sep-01,10,
S02E31,Just One Bite,5-Oct-01,10,
S02E32,The Bully,5-Oct-01,10,
S02E33,Squid on Strike ,12-Oct-01,10,
S02E34,"Sandy, SpongeBob, and the Worm",12-Oct-01,10,
